Title ,Description,Real/Fake
Yeşil lazerin görüldüğü video Türkiye'de mi çekildi?,"Sosyal medya uygulaması X'te paylaşılan bir videoda, gökyüzüne doğrultulan yeşil lazer ışını dikkat çekti. Video, bu görüntülerin Türkiye'de çekildiği iddiasıyla paylaşıldı. Görüntüler dijital platformlarda tartışmalara neden oldu. ",0
"İTÜ rektörünün Togg'u kaza yaptı, hava yastıkları açılmadı","İTÜ Rektörünün TOGG arabası kazaya karışmış. Geçmiş olsun.
Dikkatimi çeken, önden darbe almış olmasına karşın hava yastıklarının açılmamış olduğu.
Sağ kapıdan içeri sarkan arkadaşın kafası bütünüyle görülüyor. Direksiyon tarafında da açılmamış.",0
iPhone'nun maliyeti 10 dolar mı?,"Sosyal medyada dolaşıma sokulan bir videoda konuşan eski Endonezya Ticaret Bakanı Gita Wirjawan, 7 Eylül 2023 tarihinde katıldığı Mekari Conference 2023 programında, iPhone'nun maliyetinin 10 dolar olduğunu ileri sürdü.",0
ABD'de yaşanan telefon kesintisinin nedeni Güneş patlaması mı?, Güneş'te yaşanan patlamalar nedeniyle ABD'nin kuzeyinde telefon ve telsizlerde uzun süreli kesintisi yaşandı.,0
Malatya'nın içme suyu kaynakları kirlendi,Erzincan İliç'te Kanada ve Amerika tarafından işletilen ve siyanür havuzu Fırat nehrinin dibinde olan maden ocağındaki göçük sonucu suya siyanür karışma ihtimali ile halkın içme suyu kullanmaması uyarısı yapılıyor.,0
Görüntünün HAARP'ın İrlanda'da meydana getirdiği hava olayını gösterdiği söyleniyor,"görüntüler irlanda'da kaydedildi,
jeo mühendislik'te (HAARP) gelinen nokta gerçekten ürkütücü,
tanrıcılık oynayan bu gerizekalılar,dünyayı başımıza yıkmadan durmayacaklar,tam 5 ay'dır bütün dünyada yağmur,sel,fırtına vb felaketler devam ediyor.",0
İzlanda'daki volkanik patlamanın güncel görüntüsü,Sosyal medya uygulaması X'te (eski adıyla Twitter) paylaşılan bir videonun İzlanda'da volkanik patlama anını gösterdiği iddia edildi. ,0
"Uzay yolculuğu, parası ödenmediği için ertelendi", X'te paylaşılan bir gönderide 'ABD merkezli şirkete 55 milyon ödenmediği için uzay yolculuğunun ertelendiği'  yazıldı,0
"İsrail'in paylaştığı internet sitesi gerçekten Hamas'a mı ait?
","İsrail hükümetinin resmi sosyal medya hesabından ""hamas.com"" adresli internet sayfası paylaşıldı. Paylaşımın kısa sürede sosyal medyada gündem olduğu görüldü",0
İSPARK'ın araçların üzerine QR kodlu ödeme etiketi bıraktı,"Dijitalleşme alanındaki yenilikler dolandırıcılar tarafından sıklıkla kullanılıyor. Sosyal medyada, İstanbul'da park halindeki araçların üzerinde İBB ve İSPARK logoları bulunan,""Park borcunuzu ödemek için QR kodu taratınız."" etiketi bırakıldı",0
Görüntü yapay eti mi gösteriyor?,Sosyal medyada paylaşılan görüntünün üretilen yapay eti gösterdiği iddiası öne sürüldü.,0
Görüntüler Arjantin'de bulunan bir askeri üsse düzenlenen UFO saldırısını mı gösteriyor?,"Görüntüler Arjantin'den
Bir askeri üsse ""UFO"" araçlarıyla saldırı düzenlendiği iddia ediliyor.
Üssün çevresinde uçuş gerçekleştiren belirsiz cisimden askerlere saldırıldığı ve bazı askerlerin vücudunda derin kesik ve yanıkların olduğu aktarıldı.
Üste bulunan askerlerin 45 dakika boyunca ""UFO'yu"" düşürmeye çalıştıkları ancak başarılı olamadıkları ve bir süre sonra tanımlanamayan cismin kendiliğinden gittiği aktarıldı.",0
Video ABD ordusu için geliştirilen robotları mı gösteriyor?,"DARPA tarafından gelistirilen insan robotlar,Yıllardır komplo deninenler gerçek oluyor.",0
Görüntüler şiddetli depremlerin ardından yaşanan kıta hareketliliğini gösteriyor,Bir instagram görsel paylaşımın altında yapılan açıklamada yaşanılan büyük depremlerin ardından fay hatlarının ayrılması sebebiyle tüm dünyada kıtaların harekete geçtiği ifadesi yer alıyor. Sonunda da yeni depremlerin  bir habercisi olabilir mi şeklindeki soruyla açıklama bitiriliyor.,0
Video yeşil alanların kundaklandığı anı gösteriyor,"Bir X kullanıcısının hesabından paylaştığı videoda, koruyucu kıyafetler giyen bir kişinin sazlık alanı ateşe verdiği anlar yer aldı. Kullanıcı videoyu,""Küresel ısınma krizi yok. Küresel kundakçılar krizi var."" ifadeleri yazarak servis etti.",0
NASA'nın okyanusları araştırmak için mi kuruldu,Nasanın il başta okyanusları araştırmak için kurulduğu ama biraz inceledikten sonra gökyüzünü incelemeye karar verdiklerini ve bunun sebebinin aslında okynusun tehlikeli olup dünyadan kaçış yolu aramak için olduğunu biliyor muydunuz?,0
Putin Rusya genelinde 5G'yi yasakladı,"Sosyal medya uygulaması X'te (eski adıyla Twitter) eski İngiliz parlamentosu adayı Jim Ferguson, 6 Ağustos 2023'te bir haber linki paylaşarak Putin'in Rusya genelinde 5G teknolojisini yasakladığını söyledi",0
Sıtma salgınını yaymak için Florida'ya binlerce genetiği değiştirilmiş sivrisinek salındı,Çin'in Hubei eyaletindeki Vuhan kentinde 2019'un aralık ayında ortaya çıkan ve dünya genelinde bir pandemiye dönüşen Koronavirüs salgınının ardından çok sayıda iddia gündeme geldi. Bu virüsün laboratuvar ortamında geliştirildiği ve dünyanın farklı noktalarında benzer çalışmaların yürütüldüğü öne sürüldü. Son olarak Amerika'da bazı eyaletlerde sıtma vakalarının görülmesinin ardından bu tartışmalar bir kez daha alevlendi. ,0
NASA'nın uzaylıların varlığını açıkladı,"ABD Ulusal Havacılık ve Uzay Ajansı (NASA), tarihinde ilk kez UFO ve Tanımlanamayan Anormal Olay (UAP) hakkında halka açık basın toplantısı gerçekleştirdi.
Toplantının ardından sosyal medyada yapılan paylaşımlarda, NASA'nın uzaylıların varlığını açıkladığı iddia edildi. ",0
Pentagon'da patlama meydana geldi,"Sosyal medya hesaplarında Amerika Birleşik Devletleri Savunma Bakanlığı binası Pentagon'da, şiddetli bir patlama meydana geldiği ile ilgili haberler çıktı ve 
haberler ile Pentagon'un hemen yanında dumanı tüten bir alanı gösteren fotoğraf paylaşıldı.",0
"The Guardian'ın ""Bayraktar dünya savunma sanayisine 16 trilyon dolar zarar verdi"" yazdığı söylendi","Sosyal medyada, İngiltere merkezli The Guardian gazetesinin ""Selçuk Bayraktar'ın dünya savunma sanayisine verdiği zarar 16 trilyon dolar. Artık tankların bir önemi kalmadı."" ifadelerini yazdığı öne sürüldü.",0
Prof. Dr. Naci Görür'ün İstanbul'da zemini en zayıf yerin Ataşehir olduğunu söyledi,"Prof. Dr. Naci Görür'ün katıldığı bir TV programında ""İstanbul'daki zemini en zayıf yerin Ataşehir olduğunu söyledi",0
Afrika'da yeni bir kıta ve okyanus oluşuyor,"Afrika Kıtası Bölünüyor,

Bilim insanları, Afrika'nın ikiye bölünmeye başladığını bu  bölünmenin yepyeni bir okyanus oluşturduğunu keşfettiler.
",0
Çin Seddi uzaydan çıplak gözle görülebilir mi?,Dünyanın en uzun duvarı ünvanına sahip olan Çin Seddi'nin çıplak gözle uzaydan görülebileceği düşüncesi uzun yıllardan beri konuşuluyor. ,0
