category,temizlenmis_title,temizlenmis_description,title_sentiment_label,description_sentiment_label,title_sentiment,description_sentiment,source,temizlenmis_title_tokens,temizlenmis_title_lemmas,temizlenmis_description_tokens,temizlenmis_description_lemmas
entertainment,ibrahim tatlısesin oxford sözleri gündem oldu,ibrahim tatlısesin torunu berfin karakeçilinin ofxord üniversitesine reklamcılık alanında başvurduğu öğrenildi akıllara tatlısesin meşhur sözü geldi,negative,negative,[0.985374   0.01462599],[0.9359436  0.06405643],Odatv.com,"['ibrahim', 'tatlısesin', 'oxford', 'sözleri', 'gündem', 'oldu']","['ibrahim', 'tatlıses', 'oxford', 'söz', 'gündem', 'ol']","['ibrahim', 'tatlısesin', 'torunu', 'berfin', 'karakeçilinin', 'ofxord', 'üniversitesine', 'reklamcılık', 'alanında', 'başvurduğu', 'öğrenildi', 'akıllara', 'tatlısesin', 'meşhur', 'sözü', 'geldi']","['ibrahim', 'tatlıses', 'torun', 'berfin', 'karakeçili', 'ofxord', 'üniversite', 'reklamcılık', 'alan', 'başvur', 'öğren', 'akıl', 'tatlıses', 'meşhur', 'söz', 'gel']"
sports,milli takımın yıldızı küçüklük fotoğrafı gündem oldu,galatasarayın milli takımımızın yıldız futbolcusu barış alper yılmazın çocukluk fotoğrafı sosyal medyanın gündemine oturdu,negative,negative,[0.8881345  0.11186555],[0.8762145  0.12378548],Odatv.com,"['milli', 'takımın', 'yıldızı', 'küçüklük', 'fotoğrafı', 'gündem', 'oldu']","['milli', 'takım', 'yıldız', 'küçüklük', 'fotoğraf', 'gündem', 'ol']","['galatasarayın', 'milli', 'takımımızın', 'yıldız', 'futbolcusu', 'barış', 'alper', 'yılmazın', 'çocukluk', 'fotoğrafı', 'sosyal', 'medyanın', 'gündemine', 'oturdu']","['galatasarayı', 'milli', 'takımım', 'yıldız', 'futbolcu', 'barış', 'alper', 'yılmaz', 'çocukluk', 'fotoğraf', 'sosyal', 'medya', 'gündem', 'otur']"
other,en mutsuz düğün sosyal medyada gündem oldu,son günlerde sosyal medyada paylaşılan düğün fotoğrafları görenleri hayrete düşürdü mutluluğun sevincin dorukta olması beklenen düğün töreninde gelin damadın mutsuz halleri dikkat çekti,negative,negative,[0.98859274 0.01140727],[0.9073454  0.09265459],Odatv.com,"['en', 'mutsuz', 'düğün', 'sosyal', 'medyada', 'gündem', 'oldu']","['en', 'mutsuz', 'düğün', 'sosyal', 'medya', 'gündem', 'ol']","['son', 'günlerde', 'sosyal', 'medyada', 'paylaşılan', 'düğün', 'fotoğrafları', 'görenleri', 'hayrete', 'düşürdü', 'mutluluğun', 'sevincin', 'dorukta', 'olması', 'beklenen', 'düğün', 'töreninde', 'gelin', 'damadın', 'mutsuz', 'halleri', 'dikkat', 'çekti']","['son', 'gün', 'sosyal', 'medya', 'paylaş', 'düğün', 'fotoğraf', 'gören', 'hayret', 'düşür', 'mutluluk', 'sevinç', 'doruk', 'ol', 'bekle', 'düğün', 'tören', 'gel', 'damat', 'mutsuz', 'hal', 'dikkat', 'çek']"
politics,izmirdeki skandal sonrası skeç gündem oldu,izmirde yoldaki elektrik kaçağı nedeniyle iki vatandaşın hayatını kaybettiği skandal sonrası levent kırcanın yıllar önceki skeci yeniden gündem oldu,negative,negative,[0.7666019  0.23339811],[0.9633773 0.0366227],Odatv.com,"['izmirde', 'ki', 'skandal', 'sonrası', 'skeç', 'gündem', 'oldu']","['izmirde', 'ki', 'skandal', 'sonra', 'skeç', 'gündem', 'ol']","['izmirde', 'yolda', 'ki', 'elektrik', 'kaçağı', 'nedeniyle', 'iki', 'vatandaşın', 'hayatını', 'kaybettiği', 'skandal', 'sonrası', 'levent', 'kırcanın', 'yıllar', 'önce', 'ki', 'skeci', 'yeniden', 'gündem', 'oldu']","['izmirde', 'yol', 'ki', 'elektrik', 'kaçak', 'neden', 'iki', 'vatandaş', 'hayat', 'kaybet', 'skandal', 'sonra', 'levent', 'kırca', 'yıl', 'önce', 'ki', 'skeç', 'yeniden', 'gündem', 'ol']"
politics,nato zirvesinin kadın liderleri,günlerdir dünyanın gözü washingtonda gerçekleşen nato liderler zirvesinde zirvenin ana gündem maddesi ise ukraynaya destek çin tehdidi oldu zirve sonunda kadın barış güvenlik politikasının güncellenmiş hali onaylandı bildirgeye üye,neutral,neutral,[0.11155888 0.88844115],[0.07714348 0.9228565 ],Haberturk.com,"['nato', 'zirvesinin', 'kadın', 'liderleri']","['nato', 'zirve', 'kadın', 'lider']","['günler', 'dir', 'dünyanın', 'gözü', 'washingtonda', 'gerçekleşen', 'nato', 'liderler', 'zirvesinde', 'zirvenin', 'ana', 'gündem', 'maddesi', 'ise', 'ukraynaya', 'destek', 'çin', 'tehdidi', 'oldu', 'zirve', 'sonunda', 'kadın', 'barış', 'güvenlik', 'politikasının', 'güncellenmiş', 'hali', 'onaylandı', 'bildirgeye', 'üye']","['gün', 'i', 'dünya', 'göz', 'washington', 'gerçekleş', 'nato', 'lider', 'zirve', 'zirve', 'ana', 'gündem', 'madde', 'i', 'ukrayna', 'destek', 'çin', 'tehdit', 'ol', 'zirve', 'son', 'kadın', 'barış', 'güvenlik', 'politika', 'güncellenmiş', 'hal', 'onayla', 'bildirge', 'üye']"
politics,türkiyeab yüksek düzeyli diyaloğunun ilk toplantısı yarın,türkiye avrupa birliği arasındaki yüksek düzeyli ticaret diyaloğunun ilk toplantısı ticaret bakanı ömer bolat avrupa komisyonu başkan yardımcısı valdis dombrovskis başkanlığında yarın brükselde yapılacak,neutral,neutral,[0.07748002 0.92252   ],[0.37642786 0.6235722 ],Haberturk.com,"['türkiyeab', 'yüksek', 'düzeyli', 'diyaloğunun', 'ilk', 'toplantısı', 'yarın']","['türkiyeab', 'yüksek', 'düzeyli', 'diyalok', 'ilk', 'toplantı', 'yarın']","['türkiye', 'avrupa', 'birliği', 'arasında', 'ki', 'yüksek', 'düzeyli', 'ticaret', 'diyaloğunun', 'ilk', 'toplantısı', 'ticaret', 'bakanı', 'ömer', 'bolat', 'avrupa', 'komisyonu', 'başkan', 'yardımcısı', 'valdis', 'dombrovskis', 'başkanlığında', 'yarın', 'brükselde', 'yapılacak']","['türkiye', 'avrupa', 'birlik', 'ara', 'ki', 'yüksek', 'düzeyli', 'ticaret', 'diyalok', 'ilk', 'toplantı', 'ticaret', 'bakan', 'ömer', 'bolat', 'avrupa', 'komisyon', 'başkan', 'yardımcı', 'valdis', 'dombrovskis', 'başkanlık', 'yarın', 'brüksel', 'yap']"
politics,ukraynaya destek natoyu çatışmaya taraf yapmayacak,nato genel sekreteri jens stoltenberg ukraynaya askeri desteğe ilişkin natoyu çatışmanın tarafı haline getirmeyecek ukraynanın kendini savunma hakkını korumasına yardımcı olacak dedi,neutral,neutral,[0.12109833 0.8789016 ],[0.3435028 0.6564972],Haberturk.com,"['ukraynaya', 'destek', 'natoyu', 'çatışmaya', 'taraf', 'yapmayacak']","['ukrayna', 'destek', 'nato', 'çatış', 'taraf', 'yap']","['nato', 'genel', 'sekreteri', 'jens', 'stoltenberg', 'ukraynaya', 'askeri', 'desteğe', 'ilişkin', 'natoyu', 'çatışmanın', 'tarafı', 'haline', 'getirmeyecek', 'ukraynanın', 'kendini', 'savunma', 'hakkını', 'korumasına', 'yardımcı', 'olacak', 'dedi']","['nato', 'genel', 'sekreter', 'jens', 'stoltenberg', 'ukrayna', 'askeri', 'destek', 'ilişkin', 'nato', 'çatış', 'taraf', 'hal', 'getir', 'ukrayna', 'kendi', 'savun', 'hak', 'koru', 'yardımcı', 'ol', 'de']"
other,irfan değirmenci ben lgbti kimliğimle barışığım,gazeteci irfan değirmencinin merih demiralı eleştirdiği videonun bölümü kesilerek sosyal medyada eleştirilmesi gündem oldu,negative,negative,[0.6838595  0.31614047],[0.99330926 0.00669075],Odatv.com,"['irfan', 'değirmenci', 'ben', 'lgbti', 'kimliğimle', 'barışığım']","['irfan', 'değirmenci', 'ben', 'lgbt', 'kimlik', 'barışık']","['gazeteci', 'irfan', 'değirmencinin', 'merih', 'demiralı', 'eleştirdiği', 'videonun', 'bölümü', 'kesilerek', 'sosyal', 'medyada', 'eleştirilmesi', 'gündem', 'oldu']","['gazeteci', 'irfan', 'değirmenci', 'merih', 'demiral', 'eleştir', 'video', 'bölüm', 'kes', 'sosyal', 'medya', 'eleştir', 'gündem', 'ol']"
other,gelinin inanılmaz değişimi,manisada geline yapılan makyaj gelinin değişimi sosyal medyada gündem oldu,neutral,neutral,[0.00662421 0.99337584],[0.45555943 0.5444405 ],Odatv.com,"['gelinin', 'inanılmaz', 'değişimi']","['gel', 'inan', 'değişim']","['manisada', 'geline', 'yapılan', 'makyaj', 'gelinin', 'değişimi', 'sosyal', 'medyada', 'gündem', 'oldu']","['manisa', 'gel', 'yap', 'makyaj', 'gel', 'değişim', 'sosyal', 'medya', 'gündem', 'ol']"
entertainment,hadise aynı kıyafeti ikinci kez giyince gündem oldu,hadise sahnesinde tasarrufa gitti güzel popçu önce giydiği kıyafetle sahneye çıktı ünlü şarkıcıya cimri hadise yorumları beraberinde geldi,negative,negative,[0.7788161  0.22118385],[0.9970138  0.00298614],Odatv.com,"['hadise', 'aynı', 'kıyafeti', 'ikinci', 'kez', 'giyince', 'gündem', 'oldu']","['hadise', 'aynı', 'kıyafet', 'ikinci', 'kez', 'giy', 'gündem', 'ol']","['hadise', 'sahnesinde', 'tasarrufa', 'gitti', 'güzel', 'popçu', 'önce', 'giydiği', 'kıyafetle', 'sahneye', 'çıktı', 'ünlü', 'şarkıcıya', 'cimri', 'hadise', 'yorumları', 'beraberinde', 'geldi']","['hadise', 'sahne', 'tasarruf', 'git', 'güzel', 'popçu', 'önce', 'giy', 'kıyafet', 'sahne', 'çık', 'ünlü', 'şarkıcı', 'cimri', 'hadise', 'yorum', 'beraber', 'gel']"
entertainment,netflixin tiktok tarikatı belgeseli gündem oldu şeytanın dansçılarında anlatılıyor,dansçı miranda derrick netflix belgeseli şeytanın dansçıları m adında tiktok tarikatının yayınlanmasının ardından ölüm tehditleri aldığını öne sürdü milyon kişi tarafından izlenen belgesel gündem oldu,negative,negative,[0.929189   0.07081097],[0.88386    0.11614002],Odatv.com,"['netflixin', 'tiktok', 'tarikatı', 'belgese', 'li', 'gündem', 'oldu', 'şeytanın', 'dansçılarında', 'anlatılıyor']","['netflip', 'tiktok', 'tarikat', 'belge', 'li', 'gündem', 'ol', 'şeyta', 'dansçı', 'anlat']","['dansçı', 'miranda', 'derrick', 'netflix', 'belgese', 'li', 'şeytanın', 'dansçıları', 'm', 'adında', 'tiktok', 'tarikatının', 'yayınlanmasının', 'ardından', 'ölüm', 'tehditleri', 'aldığını', 'öne', 'sürdü', 'milyon', 'kişi', 'tarafından', 'izlenen', 'belgesel', 'gündem', 'oldu']","['dansç', 'miranda', 'derrick', 'netflix', 'belge', 'li', 'şeyta', 'dansçı', 'm', 'ad', 'tiktok', 'tarikat', 'yayınla', 'ardından', 'ölüm', 'tehdit', 'al', 'ön', 'sür', 'milyon', 'kişi', 'taraf', 'izle', 'belgesel', 'gündem', 'ol']"
economics,asgari ücrete zam var mı,milyonlarca vatandaş temmuz ayına girmemize günler kala asgari ücret hakkında son gelişmeleri merak ediyor asgari ücrete ara zam olup olmayacağına dair arka arkaya gelen açıklamalarda tablo netleşirken yandan tüik tarafından temmuzda açıklanacak e,neutral,neutral,[0.44508064 0.5549194 ],[0.3183426 0.6816574],Haberturk.com,"['asgari', 'ücrete', 'zam', 'var', 'mı']","['asgari', 'ücret', 'zam', 'var', 'mi']","['milyonlarca', 'vatandaş', 'temmuz', 'ayına', 'girmemize', 'günler', 'kala', 'asgari', 'ücret', 'hakkında', 'son', 'gelişmeleri', 'merak', 'ediyor', 'asgari', 'ücrete', 'ara', 'zam', 'olup', 'olmayacağına', 'dair', 'arka', 'arkaya', 'gelen', 'açıklamalarda', 'tablo', 'netleşirken', 'yandan', 'tüik', 'tarafından', 'temmuzda', 'açıklanacak', 'e']","['milyonlarca', 'vatandaş', 'temmuz', 'ay', 'gir', 'gün', 'kala', 'asgari', 'ücret', 'hak', 'son', 'geliş', 'merak', 'et', 'asgari', 'ücret', 'ara', 'zam', 'ol', 'ol', 'dair', 'arka', 'arka', 'gel', 'açıkla', 'tablo', 'netleşirken', 'yan', 'tüik', 'taraf', 'temmuz', 'açıkla', 'e']"
politics,cumhurbaşkanı erdoğandan yoğun diplomasi trafiği,cumhurbaşkanı erdoğan temmuz ayında kritik diplomasi trafiği yürütecek ilk olarak şanghay işbirliği örgütü liderler zirvesine katılacak olan erdoğan sonra nato liderler zirvesine katılacak,neutral,neutral,[0.0179989 0.9820011],[0.22099258 0.7790075 ],Haberturk.com,"['cumhurbaşkanı', 'erdoğandan', 'yoğun', 'diplomasi', 'trafiği']","['cumhurbaşkanı', 'erdoğandan', 'yoğun', 'diploma', 'trafik']","['cumhurbaşkanı', 'erdoğan', 'temmuz', 'ayında', 'kritik', 'diplomasi', 'trafiği', 'yürütecek', 'ilk', 'olarak', 'şanghay', 'işbirliği', 'örgütü', 'liderler', 'zirvesine', 'katılacak', 'olan', 'erdoğan', 'sonra', 'nato', 'liderler', 'zirvesine', 'katılacak']","['cumhurbaşkanı', 'erdoğan', 'temmuz', 'ay', 'kritik', 'diploma', 'trafik', 'yürü', 'ilk', 'olarak', 'şanghay', 'işbirliği', 'örgüt', 'lider', 'zirve', 'kat', 'ol', 'erdoğan', 'sonra', 'nato', 'lider', 'zirve', 'kat']"
politics,murat kurum bakan olunca sözler gündem oldu,murat kurumun çevre şehircilik iklim değişikliği bakanlığına atanması sonrası ibb başkanı ekrem imamoğlunun ben ona bakan olamazsın demedim köfteci olamazsın dedim sözleri yeniden gündem oldu,negative,negative,[0.9884433  0.01155674],[0.96464235 0.03535761],Odatv.com,"['murat', 'kurum', 'bakan', 'olunca', 'sözler', 'gündem', 'oldu']","['murat', 'kurum', 'bakan', 'ol', 'söz', 'gündem', 'ol']","['murat', 'kurumun', 'çevre', 'şehircilik', 'iklim', 'değişikliği', 'bakanlığına', 'atanması', 'sonrası', 'ibb', 'başkanı', 'ekrem', 'imamoğlunun', 'ben', 'ona', 'bakan', 'olamazsın', 'demedim', 'köfteci', 'olamazsın', 'dedim', 'sözleri', 'yeniden', 'gündem', 'oldu']","['murat', 'kurum', 'çevre', 'şehircilik', 'iklim', 'değişiklik', 'bakanlık', 'atan', 'sonra', 'ibb', 'başkan', 'ekrem', 'imamoğlunun', 'ben', 'o', 'bak', 'ol', 'de', 'köfteci', 'ol', 'de', 'söz', 'yeniden', 'gündem', 'ol']"
politics,chpli meclis üyesi darp edilip vuruldu durumu ağır,kayseri pınarbaşı belediye meclis üyesi şerafettin bahadır kimliği belirsiz kişiler tarafından önce darp edildi ardından silahla vuruldu durumu ağır olan bahadır tedavi altına alındı saldırganlar aranıyor,negative,negative,[0.9957321  0.00426788],[0.9857055  0.01429451],Haberturk.com,"['chpli', 'meclis', 'üyesi', 'darp', 'edilip', 'vuruldu', 'durumu', 'ağır']","['chpli', 'meclis', 'üye', 'darp', 'et', 'vur', 'durum', 'ağır']","['kayseri', 'pınarbaşı', 'belediye', 'meclis', 'üyesi', 'şerafettin', 'baha', 'dır', 'kimliği', 'belirsiz', 'kişiler', 'tarafından', 'önce', 'darp', 'edildi', 'ardından', 'silahla', 'vuruldu', 'durumu', 'ağır', 'olan', 'baha', 'dır', 'tedavi', 'altına', 'alındı', 'saldırganlar', 'aranıyor']","['kayseri', 'pınarbaşı', 'beledi', 'meclis', 'üye', 'şerafett', 'baha', 'dir', 'kimlik', 'belirsiz', 'kişi', 'taraf', 'önce', 'darp', 'et', 'ardından', 'silah', 'vur', 'durum', 'ağır', 'ol', 'baha', 'dir', 'tedavi', 'alt', 'al', 'saldırgan', 'ara']"
economics,bakan işıkhan açıkladı asgari ücret,asgari ücret tartışmaları gündemdeki yerini korumaya devam ediyor son olarak haziranda gazetecilerin sorularını yanıtlayan çalışma sosyal güvenlik bakanı vedat işıkhan amaçlarının geçici ekonomik refahı sağlamak olmadığını söyledi peki asgari üc,neutral,negative,[0.499773 0.500227],[0.9864303  0.01356977],Haberturk.com,"['bakan', 'işıkhan', 'açıkladı', 'asgari', 'ücret']","['bakan', 'işıkhan', 'açıkla', 'asgari', 'ücret']","['asgari', 'ücret', 'tartışmaları', 'gündemde', 'ki', 'yerini', 'korumaya', 'devam', 'ediyor', 'son', 'olarak', 'haziranda', 'gazetecilerin', 'sorularını', 'yanıtlayan', 'çalışma', 'sosyal', 'güvenlik', 'bakanı', 'vedat', 'işıkhan', 'amaçlarının', 'geçici', 'ekonomik', 'refahı', 'sağlamak', 'olmadığını', 'söyledi', 'peki', 'asgari', 'üc']","['asgari', 'ücret', 'tartışma', 'gündem', 'ki', 'yer', 'koru', 'devam', 'et', 'son', 'olarak', 'haziran', 'gazeteci', 'soru', 'yanıtla', 'çalış', 'sosyal', 'güvenlik', 'bakan', 'vedat', 'işıkhan', 'amaç', 'geçici', 'ekonomik', 'refah', 'sağla', 'ol', 'söyle', 'peki', 'asgari', 'üc']"
other,istanbulda sokak ortasında otlanan develer,sosyal medyada yayılan video izleyenleri şaşırttı istanbulda sokak ortasında otlanan deve gündem oldu,negative,neutral,[0.9894881  0.01051186],[0.08932271 0.91067725],Odatv.com,"['istanbulda', 'sokak', 'ortasında', 'otlanan', 'develer']","['istanbul', 'sokak', 'orta', 'otla', 'deve']","['sosyal', 'medyada', 'yayılan', 'video', 'izleyenleri', 'şaşırttı', 'istanbulda', 'sokak', 'ortasında', 'otlanan', 'deve', 'gündem', 'oldu']","['sosyal', 'medya', 'yay', 'video', 'izleyen', 'şaşır', 'istanbul', 'sokak', 'orta', 'otla', 'deve', 'gündem', 'ol']"
politics,erdoğanın temmuz diplomasisi,cumhurbaşkanı erdoğan temmuz ayında yoğun diplomasi trafiği yürütecek şanghay işbirliği örgütü şiö zirvesi için kazakistanda bulunan erdoğan sonra türk devletleri teşkilatı tdt gayriresmi zirvesi için azerbaycana gelecek hafta ise nato zirv,neutral,neutral,[0.12846108 0.8715389 ],[0.12259692 0.8774031 ],Hurriyet.com.tr,"['erdoğanın', 'temmuz', 'diplomasisi']","['erdoğan', 'temmuz', 'diplomasi']","['cumhurbaşkanı', 'erdoğan', 'temmuz', 'ayında', 'yoğun', 'diplomasi', 'trafiği', 'yürütecek', 'şanghay', 'işbirliği', 'örgütü', 'şiö', 'zirvesi', 'için', 'kazakistanda', 'bulunan', 'erdoğan', 'sonra', 'türk', 'devletleri', 'teşkilatı', 'tdt', 'gayriresmi', 'zirvesi', 'için', 'azerbaycana', 'gelecek', 'hafta', 'ise', 'nato', 'zirv']","['cumhurbaşkanı', 'erdoğan', 'temmuz', 'ay', 'yoğun', 'diploma', 'trafik', 'yürü', 'şanghay', 'işbirliği', 'örgüt', 'şiö', 'zirve', 'için', 'kazakistan', 'bulun', 'erdoğan', 'sonra', 'türk', 'devlet', 'teşkilat', 'tdt', 'gayriresm', 'zirve', 'için', 'azerbaycana', 'gel', 'hafta', 'i', 'nato', 'zirv']"
entertainment,sultan köseni gören internet fenomeni hiko babanın tepkisi gündem oldu,sultan köseni karşısında gören hiko babanın yaşadığı şaşkınlık görenleri gülümsetti,negative,neutral,[0.9258373  0.07416275],[0.25291425 0.7470858 ],Odatv.com,"['sultan', 'köseni', 'gören', 'internet', 'fenomeni', 'hiko', 'babanın', 'tepkisi', 'gündem', 'oldu']","['sultan', 'kösen', 'gör', 'internet', 'fenomen', 'hiko', 'baba', 'tepki', 'gündem', 'ol']","['sultan', 'köseni', 'karşısında', 'gören', 'hiko', 'babanın', 'yaşadığı', 'şaşkınlık', 'görenleri', 'gülümsetti']","['sultan', 'kösen', 'karşı', 'gör', 'hiko', 'baba', 'yaşa', 'şaşkınlık', 'gören', 'gülümse']"
entertainment,esin gündoğdu verdiği kilolarla gündemde eğlenceli paylaşımı ise gündem oldu,ekranların sevilen komedi oyuncusu esin gündoğdu geçtiğimiz yıllarda sağlıklı beslenme sayesinde ameliyat olmadan yılda kilo vererek büyük dönüşüm yaşadı,negative,neutral,[0.62816006 0.3718399 ],[0.22106266 0.7789373 ],Odatv.com,"['esin', 'gündoğdu', 'verdiği', 'kilolarla', 'gündemde', 'eğlence', 'li', 'paylaşımı', 'ise', 'gündem', 'oldu']","['esin', 'gündoğdu', 'ver', 'kilo', 'gündem', 'eğlence', 'li', 'paylaşım', 'i', 'gündem', 'ol']","['ekranların', 'sevilen', 'komedi', 'oyuncusu', 'esin', 'gündoğdu', 'geçtiğimiz', 'yıllarda', 'sağlık', 'lı', 'beslenme', 'sayesinde', 'ameliyat', 'olmadan', 'yılda', 'kilo', 'vererek', 'büyük', 'dönüşüm', 'yaşadı']","['ekran', 'sev', 'komedi', 'oyuncu', 'esin', 'gündoğdu', 'geç', 'yıl', 'sağlık', 'li', 'besle', 'saye', 'ameliyat', 'ol', 'yıl', 'kilo', 'ver', 'büyük', 'dönüşüm', 'yaşa']"
entertainment,lerin ünlü ismiydi ayşe mineden üzen haber,li yıllarda seslendirdiği erkek milleti yemin mi ettin şarkılarıyla ünlenen ayşe mineden üzen haber geldi,negative,negative,[0.9484887  0.05151127],[0.9713004  0.02869953],Hurriyet.com.tr,"['lerin', 'ünlü', 'ismi', 'ydi', 'ayşe', 'mineden', 'üzen', 'haber']","['lerin', 'ünlü', 'isim', 'i', 'Hyşe', 'mine', 'üz', 'haber']","['li', 'yıllarda', 'seslendirdiği', 'erkek', 'milleti', 'yemin', 'mi', 'ettin', 'şarkılarıyla', 'ünlenen', 'ayşe', 'mineden', 'üzen', 'haber', 'geldi']","['li', 'yıl', 'seslen', 'erkek', 'millet', 'yemin', 'mi', 'et', 'şarkı', 'ünle', 'Hyşe', 'mine', 'üz', 'haber', 'gel']"
entertainment,akşam konser sabah ameliyat ibrahim tatlısesten haber var,harbiyede sahneye çıkan ibrahim tatlıses ertesi gün kalp ameliyatı oldu konserinde dinleyicilerinden gözyaşları içinde helallik isteyen sanatçının sağlık durumunun iyi olduğu öğrenildi davalık olduğu oğlu ahmet tatlıses konserde hastanede ibrah,negative,negative,[0.80675626 0.19324371],[0.94332105 0.05667896],Hurriyet.com.tr,"['akşam', 'konser', 'sabah', 'ameliyat', 'ibrahim', 'tatlısesten', 'haber', 'var']","['akşam', 'konser', 'sabah', 'ameliyat', 'ibrahim', 'tatlısesten', 'haber', 'var']","['harbiyede', 'sahneye', 'çıkan', 'ibrahim', 'tatlıses', 'ertesi', 'gün', 'kalp', 'ameliyatı', 'oldu', 'konserinde', 'dinleyicilerinden', 'gözyaşları', 'içinde', 'helallik', 'isteyen', 'sanatçının', 'sağlık', 'durumunun', 'iyi', 'olduğu', 'öğrenildi', 'davalık', 'olduğu', 'oğlu', 'ahmet', 'tatlıses', 'konserde', 'hastanede', 'ibrah']","['harbi', 'sahne', 'çık', 'ibrahim', 'tatlıses', 'ertesi', 'gün', 'kalp', 'ameliyat', 'ol', 'konser', 'dinleyici', 'gözyaşı', 'iç', 'helallik', 'iste', 'sanatçı', 'sağlık', 'durum', 'iyi', 'ol', 'öğren', 'davalık', 'ol', 'oğul', 'ahmet', 'tatlıses', 'konser', 'hastane', 'ibrah']"
sports,fenerbahçeye youssef ennesyriden beklenmedik haber telefon görüşmesi ortaya çıktı,adı fenerbahçe anılan sevillanın faslı golcüsü youssef ennesyri için romanın sürpriz atak yaptığı yeni gelişmeler yaşandığı ileri sürüldü,negative,negative,[0.985179   0.01482096],[0.8930956  0.10690436],Hurriyet.com.tr,"['fenerbahçeye', 'youssef', 'ennesyriden', 'beklenmedik', 'haber', 'telefon', 'görüşmesi', 'ortaya', 'çıktı']","['fenerbahçe', 'Youssef', 'ennesyri', 'beklenmedik', 'haber', 'telefon', 'görüşme', 'orta', 'çık']","['adı', 'fenerbahçe', 'anılan', 'sevillanın', 'faslı', 'golcüsü', 'youssef', 'ennesyri', 'için', 'romanın', 'sürpriz', 'atak', 'yaptığı', 'yeni', 'gelişmeler', 'yaşandığı', 'ileri', 'sürüldü']","['ad', 'fenerbahçe', 'an', 'sevilla', 'faslı', 'golcü', 'Youssef', 'ennesyri', 'için', 'roma', 'sürpriz', 'atak', 'yap', 'yeni', 'geliş', 'yaşa', 'ileri', 'sür']"
entertainment,diziyle hafızalara kazınmıştı ünlü oyuncudan acı haber geldi,kamera karşısına geçtiği beverly hills adlı diziyle genç yaşında hafızalara kazınan shannen doherty yılından yana hastalığına karşı verdiği mücadeleyi kaybetti,neutral,neutral,[0.08887553 0.91112447],[0.01255326 0.9874467 ],Hurriyet.com.tr,"['diziyle', 'hafızalara', 'kazınmıştı', 'ünlü', 'oyuncudan', 'acı', 'haber', 'geldi']","['diz', 'hafıza', 'kazın', 'ünlü', 'oyuncu', 'acı', 'haber', 'gel']","['kamera', 'karşısına', 'geçtiği', 'beverly', 'hills', 'adlı', 'diziyle', 'genç', 'yaşında', 'hafızalara', 'kazınan', 'shannen', 'doherty', 'yılından', 'yana', 'hastalığına', 'karşı', 'verdiği', 'mücadeleyi', 'kaybetti']","['kamer', 'karşı', 'geç', 'Beverly', 'hills', 'adıl', 'diz', 'genç', 'yaş', 'hafıza', 'kazın', 'Hhannen', 'doherty', 'yıl', 'yana', 'hastalık', 'karşı', 'ver', 'mücadele', 'kaybet']"
other,seçil erzana kötü haber,seçil erzanın şikâyeti üzerine denizbank yöneticileri hakkında başlatılan kişiyi hürriyetinden yoksun bırakma suçlamasına ilişkin soruşturmada takipsizlik kararı verildi savcılık erzanın iddialarının gerçeği yansıtmadığını suçların işlendiğine dair i,negative,negative,[0.9969068  0.00309315],[0.9931316  0.00686845],Hurriyet.com.tr,"['seçil', 'erzana', 'kötü', 'haber']","['seçil', 'erzan', 'kötü', 'haber']","['seçil', 'erzanın', 'şikâyeti', 'üzerine', 'denizbank', 'yöneticileri', 'hakkında', 'başlatılan', 'kişiyi', 'hürriyetinden', 'yoksun', 'bırakma', 'suçlamasına', 'ilişkin', 'soruşturmada', 'takipsizlik', 'kararı', 'verildi', 'savcılık', 'erzanın', 'iddialarının', 'gerçeği', 'yansıtmadığını', 'suçların', 'işlendiğine', 'dair', 'i']","['seçil', 'erzan', 'şikâyet', 'üzer', 'denizbank', 'yönetici', 'hak', 'başla', 'kişi', 'hürriyet', 'yoksun', 'bırak', 'suçlama', 'ilişkin', 'soruşturma', 'takipsizlik', 'karar', 'ver', 'savcılık', 'erzan', 'iddia', 'gerçek', 'yansı', 'suç', 'işle', 'dair', 'i']"
entertainment,acı haber,akın akınözünün kendisi gibi oyuncu olan annesi özlem akınözü uzun süredir mücadele ettiği hastalığa yenilerek hayatını kaybetti,negative,negative,[0.6716767 0.3283233],[0.9928924  0.00710762],Haberturk.com,"['acı', 'haber']","['acı', 'haber']","['akın', 'akınözünün', 'kendisi', 'gibi', 'oyuncu', 'olan', 'annesi', 'özlem', 'akınözü', 'uzun', 'süre', 'dir', 'mücadele', 'ettiği', 'hastalığa', 'yenilerek', 'hayatını', 'kaybetti']","['akın', 'akınöz', 'kendi', 'gibi', 'oyuncu', 'ol', 'anne', 'özlem', 'akı', 'uzun', 'süre', 'i', 'mücadele', 'et', 'hastalık', 'yenil', 'hayat', 'kaybet']"
