category,temizlenmis_title,Real/Fake,temizlenmis_description,temizlenmis_title_tokens,temizlenmis_title_lemmas,temizlenmis_description_tokens,temizlenmis_description_lemmas
politics,son dakika bakan özhaseki sağlık sorunları nedeniyle görevinden affını istedi,1,çevre şehircilik iklim değişikliği bakanı mehmet özhaseki sağlık sorunları nedeniyle görevinden affını istediğini cumhurbaşkanı erdoğana ilettiğini duyurdu,"['son', 'dakika', 'bakan', 'özhase', 'ki', 'sağlık', 'sorunları', 'nedeniyle', 'görevinden', 'affını', 'istedi']","['son', 'dakika', 'bakan', 'özhas', 'ki', 'sağlık', 'sorun', 'neden', 'görev', 'afıf', 'iste']","['çevre', 'şehircilik', 'iklim', 'değişikliği', 'bakanı', 'mehmet', 'özhase', 'ki', 'sağlık', 'sorunları', 'nedeniyle', 'görevinden', 'affını', 'istediğini', 'cumhurbaşkanı', 'erdoğana', 'ilettiğini', 'duyurdu']","['çevre', 'şehircilik', 'iklim', 'değişiklik', 'bakan', 'mehmet', 'özhase', 'ki', 'sağlık', 'sorun', 'neden', 'görev', 'afıf', 'iste', 'cumhurbaşkanı', 'erdoğan', 'ilet', 'duy']"
politics,son dakika haberi yeni sağlık bakanı kemal memişoğlundan ilk açıklama,1,sağlık bakanı fahrettin koca görevden affını istedi kocanın yerine atanan kemal memişoğlu ilk açıklamasını yaptı bakan memişoğlu açıklamasında vatanımız milletimiz için onurlu göreve beni layık gördüğü için sayın cumhurbaşkanımıza şükranlarımı arz ed,"['son', 'dakika', 'haberi', 'yeni', 'sağlık', 'bakanı', 'kemal', 'memişoğlundan', 'ilk', 'açıklama']","['son', 'dakika', 'haber', 'yeni', 'sağlık', 'bakan', 'kemal', 'memişoğlun', 'ilk', 'açıkla']","['sağlık', 'bakanı', 'fahrettin', 'koca', 'görevden', 'affını', 'istedi', 'kocanın', 'yerine', 'atanan', 'kemal', 'memişoğlu', 'ilk', 'açıklamasını', 'yaptı', 'bakan', 'memişoğlu', 'açıklamasında', 'vatanımız', 'milletimiz', 'için', 'onurlu', 'göreve', 'beni', 'layık', 'gördüğü', 'için', 'sayın', 'cumhurbaşkanımıza', 'şükranlarımı', 'arz', 'ed']","['sağlık', 'bakan', 'fahrett', 'koca', 'görev', 'afıf', 'iste', 'koca', 'yer', 'atan', 'kemal', 'memişoğlu', 'ilk', 'açıklama', 'yap', 'bakan', 'memişoğlu', 'açıklama', 'vatan', 'millet', 'için', 'onurlu', 'görev', 'ben', 'layık', 'gör', 'için', 'sayın', 'cumhurbaşkanı', 'şükran', 'arz', 'et']"
politics,son dakika haberi bakan yerlikayadan kayseri paylaşımlarına ilişkin açıklama,1,kayseride meydana gelen olaylarla ilgili yeni açıklama yapan içişleri bakanı ali yerlikaya hesap ilgili soruşturma başlatıldığını belirtti,"['son', 'dakika', 'haberi', 'bakan', 'yerlikayadan', 'kayseri', 'paylaşımlarına', 'ilişkin', 'açıklama']","['son', 'dakika', 'haber', 'bakan', 'yerlikaya', 'kayseri', 'paylaşım', 'ilişkin', 'açıkla']","['kayseride', 'meydana', 'gelen', 'olaylarla', 'ilgili', 'yeni', 'açıklama', 'yapan', 'içişleri', 'bakanı', 'ali', 'yerlikaya', 'hesap', 'ilgili', 'soruşturma', 'başlatıldığını', 'belirtti']","['kayseri', 'meydan', 'gel', 'olay', 'ilgili', 'yeni', 'açıkla', 'yap', 'içiş', 'bakan', 'ali', 'yerlika', 'hesap', 'ilgili', 'soruşturma', 'başla', 'belir']"
other,bakışı yasayı görüşen vekillere gönderiyorum,1,kereste fabrikasındaki yangın sönerken bursa itfaiyesinden görevli dumanların arasından gelen inleme duydu,"['bakışı', 'yasayı', 'görüşen', 'vekillere', 'gönderiyorum']","['bakış', 'yasa', 'görüş', 'vekil', 'gönder']","['kereste', 'fabrikasında', 'ki', 'yangın', 'sönerken', 'bursa', 'itfaiyesinden', 'görevli', 'dumanların', 'arasından', 'gelen', 'inleme', 'duydu']","['keres', 'fabrika', 'ki', 'yangı', 'sön', 'bursa', 'itfaiye', 'görevli', 'duman', 'ara', 'gel', 'inle', 'duy']"
other,son dakika msb acı haberi duyurdu pençe kilitte asker şehit oldu,1,son dakika haberine göre milli savunma bakanlığı pençe kilit bölgesindeki saldırıda uzman çavuş cebrail acar şehit oldu terörist öldürüldü açıklamasını yaptı,"['son', 'dakika', 'msb', 'acı', 'haberi', 'duyurdu', 'pençe', 'kilitte', 'asker', 'şehit', 'oldu']","['son', 'dakika', 'msb', 'acı', 'haber', 'duy', 'pençe', 'kilit', 'asker', 'şehit', 'ol']","['son', 'dakika', 'haberine', 'göre', 'milli', 'savunma', 'bakanlığı', 'pençe', 'kilit', 'bölgesinde', 'ki', 'saldırıda', 'uzman', 'çavuş', 'cebrail', 'acar', 'şehit', 'oldu', 'terörist', 'öldürüldü', 'açıklamasını', 'yaptı']","['son', 'dakika', 'haber', 'göre', 'milli', 'savun', 'bakanlık', 'pençe', 'kilit', 'bölge', 'ki', 'saldırı', 'uzman', 'çavuş', 'cebrail', 'acar', 'şehit', 'ol', 'terörist', 'öl', 'açıklama', 'yap']"
other,yaş altında kanser vakaları hızla artıyor tanınmış onkolog kanser riskini azaltmak için uyguladığı dört kuralı anlattı,1,kanserin teşhis tedavisi adına son yıllarda atılan önemli adımlar hayatta kalma oranlarında kayda değer iyileşme sağladı madalyonun yüzüne baktığımızda özellikle yaş altı bireylerdeki vaka sayılarında yüzde lik artış olduğunu gör,"['yaş', 'altında', 'kanser', 'vakaları', 'hızla', 'artıyor', 'tanınmış', 'onkolog', 'kanser', 'riskini', 'azaltmak', 'için', 'uyguladığı', 'dört', 'kuralı', 'anlattı']","['yaş', 'alt', 'kanser', 'vaka', 'hız', 'art', 'tanı', 'onkolog', 'kanser', 'risk', 'azal', 'için', 'uygula', 'dört', 'kural', 'anlat']","['kanserin', 'teşhis', 'tedavisi', 'adına', 'son', 'yıllarda', 'atılan', 'önem', 'li', 'adımlar', 'hayatta', 'kalma', 'oranlarında', 'kayda', 'değer', 'iyileşme', 'sağladı', 'madalyonun', 'yüzüne', 'baktığımızda', 'özellikle', 'yaş', 'altı', 'bireylerde', 'ki', 'vaka', 'sayılarında', 'yüzde', 'lik', 'artış', 'olduğunu', 'gör']","['kanser', 'teşhis', 'tedavi', 'ad', 'son', 'yıl', 'at', 'önem', 'li', 'adım', 'hayat', 'kal', 'oran', 'kayda', 'değer', 'iyileş', 'sağla', 'madalyon', 'yüz', 'bak', 'özellikle', 'yaş', 'altı', 'birey', 'ki', 'vaka', 'sayı', 'yüz', 'lik', 'artış', 'ol', 'gör']"
other,tuzlada otluk alanda yangın,1,son dakika istanbul tuzlada ormanlık alanda yangın çıktı alevlere sayıda ekiple müdahale ediliyor,"['tuzlada', 'otluk', 'alanda', 'yangın']","['tuzla', 'otluk', 'alan', 'yangı']","['son', 'dakika', 'istanbul', 'tuzlada', 'ormanlık', 'alanda', 'yangın', 'çıktı', 'alevlere', 'sayıda', 'ekiple', 'müdahale', 'ediliyor']","['son', 'dakika', 'istanbul', 'tuzla', 'ormanlık', 'alan', 'yangı', 'çık', 'alev', 'sayı', 'ekip', 'müdahale', 'et']"
politics,cumhurbaşkanı erdoğandan pezeşkiyana telefon,1,son dakika cumhurbaşkanı erdoğan iranda cumhurbaşkanı seçilen pezeşkiyanı arayarak kutladı erdoğan mevkidaşına başarılar diledi,"['cumhurbaşkanı', 'erdoğandan', 'pezeşkiyana', 'telefon']","['cumhurbaşkanı', 'erdoğandan', 'pezeşkiyan', 'telefon']","['son', 'dakika', 'cumhurbaşkanı', 'erdoğan', 'iranda', 'cumhurbaşkanı', 'seçilen', 'pezeşkiyanı', 'arayarak', 'kutladı', 'erdoğan', 'mevkidaşına', 'başarılar', 'diledi']","['son', 'dakika', 'cumhurbaşkanı', 'erdoğan', 'iran', 'cumhurbaşkanı', 'seç', 'pezeşkiyan', 'ara', 'kutla', 'erdoğan', 'mevkidaş', 'başarı', 'dile']"
politics,yargı paketinde son durum,1,yargı paketi hakkındaki son durum gündemdekini yerini korumaya devam ediyor ceza indirimi son dakika gelişmeleri yakından takip edilirken vatandaşın gözü adalet bakanlığının yapacağı açıklamada peki yargı paketi zaman çıkacak maddeleri neler,"['yargı', 'paketinde', 'son', 'durum']","['yargı', 'paket', 'son', 'durum']","['yargı', 'paketi', 'hakkında', 'ki', 'son', 'durum', 'gündemdekini', 'yerini', 'korumaya', 'devam', 'ediyor', 'ceza', 'indirimi', 'son', 'dakika', 'gelişmeleri', 'yakından', 'takip', 'edilirken', 'vatandaşın', 'gözü', 'adalet', 'bakanlığının', 'yapacağı', 'açıklamada', 'peki', 'yargı', 'paketi', 'zaman', 'çıkacak', 'maddeleri', 'neler']","['yargı', 'paket', 'hak', 'ki', 'son', 'durum', 'gündemdek', 'yer', 'koru', 'devam', 'et', 'ceza', 'indir', 'son', 'dakika', 'geliş', 'yakın', 'takip', 'et', 'vatandaş', 'göz', 'adalet', 'bakanlık', 'yap', 'açıkla', 'peki', 'yargı', 'paket', 'zaman', 'çık', 'madde', 'ne']"
other,erzurumda sel heyelan,1,son dakika haberi erzurumda yoğun yağış heyelan seli beraberinde getirdi ortaya korkutan görüntüler çıktı,"['erzurumda', 'sel', 'heyelan']","['erzur', 'sel', 'heyelan']","['son', 'dakika', 'haberi', 'erzurumda', 'yoğun', 'yağış', 'heyelan', 'seli', 'beraberinde', 'getirdi', 'ortaya', 'korkutan', 'görüntüler', 'çıktı']","['son', 'dakika', 'haber', 'erzur', 'yoğun', 'yağış', 'heyelan', 'sel', 'beraber', 'getir', 'orta', 'korkut', 'görüntü', 'çık']"
politics,cumhurbaşkanı erdoğan abdde,1,son dakika haberi nato devlet hükümet başkanları zirvesine katılacak olan cumhurbaşkanı recep tayyip erdoğan heyetini taşıyan uçak washingtona indi,"['cumhurbaşkanı', 'erdoğan', 'abdde']","['cumhurbaşkanı', 'erdoğan', 'abdde']","['son', 'dakika', 'haberi', 'nato', 'devlet', 'hükümet', 'başkanları', 'zirvesine', 'katılacak', 'olan', 'cumhurbaşkanı', 'recep', 'tayyip', 'erdoğan', 'heyetini', 'taşıyan', 'uçak', 'washingtona', 'indi']","['son', 'dakika', 'haber', 'nato', 'devlet', 'hükümet', 'başkan', 'zirve', 'kat', 'ol', 'cumhurbaşkanı', 'recep', 'tayyip', 'erdoğan', 'heyet', 'taşı', 'uçak', 'washington', 'in']"
other,mevsim normallerinin derece üzerinde sıcak olacak,1,hava durumu son dakika meteorolojiden alınan son bilgilere göre bugün bölgemizde sağanak yağış bekleniyor sıcaklıklar ise mevsim normallerinin üzerinde seyrediyor illerimizde beklenen sıcaklıklar hava durumu,"['mevsim', 'normallerinin', 'derece', 'üzerinde', 'sıcak', 'olacak']","['mevsim', 'normal', 'derece', 'üzer', 'sıcak', 'ol']","['hava', 'durumu', 'son', 'dakika', 'meteorolojiden', 'alınan', 'son', 'bilgilere', 'göre', 'bugün', 'bölgemizde', 'sağanak', 'yağış', 'bekleniyor', 'sıcaklıklar', 'ise', 'mevsim', 'normallerinin', 'üzerinde', 'seyrediyor', 'illerimizde', 'beklenen', 'sıcaklıklar', 'hava', 'durumu']","['hava', 'durum', 'son', 'dakika', 'meteoroloji', 'al', 'son', 'bilgi', 'göre', 'bugün', 'bölge', 'sağanak', 'yağış', 'bekle', 'sıcaklık', 'i', 'mevsim', 'normal', 'üzer', 'seyret', 'il', 'bekle', 'sıcaklık', 'hava', 'durum']"
other,datça merkezde lik deprem,1,son dakika muğlanın datça ilçesinde saat te büyüklüğünde deprem meydana geldi depremin kilometre derinlikte meydana geldiği belirlendi,"['dat', 'ça', 'merkezde', 'lik', 'deprem']","['dat', 'ce', 'merkez', 'lik', 'deprem']","['son', 'dakika', 'muğlanın', 'datça', 'ilçesinde', 'saat', 'te', 'büyüklüğünde', 'deprem', 'meydana', 'geldi', 'depremin', 'kilometre', 'derinlikte', 'meydana', 'geldiği', 'belirlendi']","['son', 'dakika', 'muğla', 'datça', 'ilçe', 'saat', 'te', 'büyüklük', 'deprem', 'meydan', 'gel', 'depre', 'kilometre', 'derinlik', 'meydan', 'gel', 'belirle']"
politics,suikast girişiminden saatler sonra görüntülendi,1,son dakika haberi abd başkan adayı donald trump suikast girişimine uğradıktan saatler sonra özel jetinden inerken görüldü,"['suikast', 'girişiminden', 'saatler', 'sonra', 'görüntülendi']","['suikast', 'girişim', 'saat', 'sonra', 'görüntülen']","['son', 'dakika', 'haberi', 'abd', 'başkan', 'adayı', 'donald', 'trump', 'suikast', 'girişimine', 'uğradıktan', 'saatler', 'sonra', 'özel', 'jetinden', 'inerken', 'görüldü']","['son', 'dakika', 'haber', 'abd', 'başkan', 'aday', 'donald', 'trump', 'suikast', 'girişim', 'uğra', 'saat', 'sonra', 'özel', 'jet', 'in', 'gör']"
politics,sinan ateş davasında mütalaa açıklandı,1,son dakika gelişmesi sinan ateş davasında mütalaa açıklandı savcı sanığın beraatini istedi duruşma eylüle ertelendi,"['sinan', 'ateş', 'davasında', 'mütalaa', 'açıklandı']","['sinan', 'ateş', 'dava', 'mütalaa', 'açıkla']","['son', 'dakika', 'gelişmesi', 'sinan', 'ateş', 'davasında', 'mütalaa', 'açıklandı', 'savcı', 'sanığın', 'beraatini', 'istedi', 'duruşma', 'eylüle', 'ertelendi']","['son', 'dakika', 'geliş', 'sinan', 'ateş', 'dava', 'mütalaa', 'açıkla', 'savcı', 'sanık', 'beraat', 'iste', 'duruşma', 'eylül', 'ertele']"
other,bingölde orman yangınları çıktı,1,son dakika bingölün genç kiğı ilçesinde orman yangını çıktı alevlere sayıda ekip tarafından müdahale ediliyor,"['bingölde', 'orman', 'yangınları', 'çıktı']","['bingöl', 'orman', 'yangın', 'çık']","['son', 'dakika', 'bingölün', 'genç', 'kiğı', 'ilçesinde', 'orman', 'yangını', 'çıktı', 'alevlere', 'sayıda', 'ekip', 'tarafından', 'müdahale', 'ediliyor']","['son', 'dakika', 'bingölün', 'genç', 'kiğı', 'ilçe', 'orman', 'yangı', 'çık', 'alev', 'sayı', 'ekip', 'taraf', 'müdahale', 'et']"
other,son depremler listesi,1,afad kandilli son depremler listesi güncel olarak duyuruluyor irili ufaklı sarsıntıda dahil hisseden vatandaşlar önce deprem mi oldu nerede kaç büyüklüğünde sorusuna yanıt arıyor afad kandilli rasathanesi anlık olarak paylaşılıyor en son k,"['son', 'depremler', 'listesi']","['son', 'deprem', 'liste']","['afad', 'kandilli', 'son', 'depremler', 'listesi', 'güncel', 'olarak', 'duyuruluyor', 'irili', 'ufaklı', 'sarsıntıda', 'dahil', 'hisseden', 'vatandaşlar', 'önce', 'deprem', 'mi', 'oldu', 'nerede', 'kaç', 'büyüklüğünde', 'sorusuna', 'yanıt', 'arıyor', 'afad', 'kandilli', 'rasathanesi', 'anlık', 'olarak', 'paylaşılıyor', 'en', 'son', 'k']","['afad', 'kandilli', 'son', 'deprem', 'liste', 'güncel', 'olarak', 'duyur', 'irili', 'ufaklı', 'sarsıntı', 'dahil', 'hisset', 'vatandaş', 'önce', 'deprem', 'mi', 'ol', 'nere', 'kaç', 'büyüklük', 'soru', 'yanıt', 'ara', 'afad', 'kandilli', 'rasathane', 'anlık', 'olarak', 'paylaş', 'en', 'son', 'k']"
other,bodrumda orman yangını çıktı müdahale ediliyor,1,son dakika haberi muğlanın bodrum ilçesinde çıkan orman yangınına havadan karadan müdahale ediliyor yangınla ilgili inceleme başlatıldı,"['bodrumda', 'orman', 'yangını', 'çıktı', 'müdahale', 'ediliyor']","['bodrum', 'orman', 'yangı', 'çık', 'müdahale', 'et']","['son', 'dakika', 'haberi', 'muğlanın', 'bodrum', 'ilçesinde', 'çıkan', 'orman', 'yangınına', 'havadan', 'karadan', 'müdahale', 'ediliyor', 'yangınla', 'ilgili', 'inceleme', 'başlatıldı']","['son', 'dakika', 'haber', 'muğla', 'Bodrum', 'ilçe', 'çık', 'orman', 'yangı', 'hava', 'kara', 'müdahale', 'et', 'yangı', 'ilgili', 'incele', 'başla']"
other,silivride otluk alanda yangın evlere sıçradı,1,son dakika haberler istanbul silivride otluk alanda yangın çıktı kısa sürede büyüyerek çevredeki bazı evlere sıçrayan yangına müdahale ediliyor,"['silivride', 'otluk', 'alanda', 'yangın', 'evlere', 'sıçradı']","['silivri', 'otluk', 'alan', 'yangı', 'ev', 'sıçra']","['son', 'dakika', 'haberler', 'istanbul', 'silivride', 'otluk', 'alanda', 'yangın', 'çıktı', 'kısa', 'sürede', 'büyüyerek', 'çevrede', 'ki', 'bazı', 'evlere', 'sıçrayan', 'yangına', 'müdahale', 'ediliyor']","['son', 'dakika', 'haber', 'istanbul', 'silivri', 'otluk', 'alan', 'yangı', 'çık', 'kısa', 'süre', 'büyü', 'çevre', 'ki', 'bazı', 'ev', 'sıçra', 'yangı', 'müdahale', 'et']"
other,izmirde korku dolu anlar,1,son dakika haberler izmir gaziemirde ormanlık alanda yangın çıktı yerleşim yerlerine yakın alanda çıkan yangına müdahale ediliyor,"['izmirde', 'korku', 'dolu', 'anlar']","['izim', 'korku', 'dolu', 'anla']","['son', 'dakika', 'haberler', 'izmir', 'gaziemirde', 'ormanlık', 'alanda', 'yangın', 'çıktı', 'yerleşim', 'yerlerine', 'yakın', 'alanda', 'çıkan', 'yangına', 'müdahale', 'ediliyor']","['son', 'dakika', 'haber', 'izmir', 'gaziemir', 'ormanlık', 'alan', 'yangı', 'çık', 'yerleşim', 'yer', 'yakın', 'alan', 'çık', 'yangı', 'müdahale', 'et']"
other,parkta silahlı saldırı tutuklama,1,adanadan son dakika çatışma haberleri gelmeye devam ediyor parkta meydana gelen silahlı saldırıyla ilgili kişi tutuklandı,"['parkta', 'silahlı', 'saldırı', 'tutuklama']","['park', 'silahlı', 'saldır', 'tutukla']","['adanadan', 'son', 'dakika', 'çatışma', 'haberleri', 'gelmeye', 'devam', 'ediyor', 'parkta', 'meydana', 'gelen', 'silahlı', 'saldırıyla', 'ilgili', 'kişi', 'tutuklandı']","['adana', 'son', 'dakika', 'çatış', 'haber', 'gel', 'devam', 'et', 'park', 'meydan', 'gel', 'silahlı', 'saldırı', 'ilgili', 'kişi', 'tutukla']"
other,kahramanmaraşta deprem,1,son dakika deprem haberleri yakından takip ediliyor ülkemizin deprem riski altındaki bölgelerinde sıklıkla hissedilen son depremler afad kandilli rasathanesinin çalışmalarıyla anbean paylaşılıyor haziran pazar günü türkiyede meydana gele,"['kahramanmaraşta', 'deprem']","['kahramanmaraş', 'deprem']","['son', 'dakika', 'deprem', 'haberleri', 'yakından', 'takip', 'ediliyor', 'ülkemizin', 'deprem', 'riski', 'altında', 'ki', 'bölgelerinde', 'sıklıkla', 'hissedilen', 'son', 'depremler', 'afad', 'kandilli', 'rasathanesinin', 'çalışmalarıyla', 'anbean', 'paylaşılıyor', 'haziran', 'pazar', 'günü', 'türkiyede', 'meydana', 'gele']","['son', 'dakika', 'deprem', 'haber', 'yakın', 'takip', 'et', 'ülke', 'deprem', 'riski', 'alt', 'ki', 'bölge', 'sıklık', 'hisset', 'son', 'deprem', 'afad', 'kandilli', 'rasathane', 'çalış', 'anbean', 'paylaş', 'haziran', 'pazar', 'gün', 'türkiye', 'meydan', 'gel']"
other,yargı paketi son durum,1,yargı paketi son dakika gelişmeleri yakından takip ediliyor adalet bakanı yılmaz tunç yargı paketinin milletvekillerinin taslak üzerindeki değerlendirmelerinin tamamlanmasının ardından teklife dönüşeceğini bildirdi ceza indirimi denetimli serb,"['yargı', 'paketi', 'son', 'durum']","['yargı', 'paket', 'son', 'durum']","['yargı', 'paketi', 'son', 'dakika', 'gelişmeleri', 'yakından', 'takip', 'ediliyor', 'adalet', 'bakanı', 'yılmaz', 'tunç', 'yargı', 'paketinin', 'milletvekillerinin', 'taslak', 'üzerinde', 'ki', 'değerlendirmelerinin', 'tamamlanmasının', 'ardından', 'teklife', 'dönüşeceğini', 'bildirdi', 'ceza', 'indirimi', 'denetimli', 'serb']","['yargı', 'paket', 'son', 'dakika', 'geliş', 'yakın', 'takip', 'et', 'adalet', 'bakan', 'yılmaz', 'tunç', 'yargı', 'paket', 'milletvekili', 'taslak', 'üzer', 'ki', 'değerlendirme', 'tamamla', 'ardından', 'teklife', 'dönüş', 'bil', 'ceza', 'indir', 'denetimli', 'serb']"
other,adanada fırtına vinç devrildi,1,son dakika faciadan dönüldü adanada şiddetli yağmur rüzgar ağaçları kökünden söktü inşaatta ise vinç devrildi,"['adanada', 'fırtına', 'vinç', 'devrildi']","['adana', 'fırt', 'vinç', 'de']","['son', 'dakika', 'faciadan', 'dönüldü', 'adanada', 'şiddet', 'li', 'yağmur', 'rüzgar', 'ağaçları', 'kökünden', 'söktü', 'inşaatta', 'ise', 'vinç', 'devrildi']","['son', 'dakika', 'facia', 'dön', 'adana', 'şiddet', 'li', 'yağmur', 'rüzgar', 'ağaç', 'kök', 'sök', 'inşaat', 'i', 'vinç', 'de']"
other,atatürk heykeline taşla saldırmıştı,1,son dakika haberler elazığda kent merkezinde bulunan atatürk heykeline taşla saldıran hk adliyeye sevk edildi şüphelinin adliyedeki işlemleri sürüyor,"['atatürk', 'heykeline', 'taşla', 'saldırmıştı']","['atatürk', 'heykel', 'taş', 'sal']","['son', 'dakika', 'haberler', 'elazığda', 'kent', 'merkezinde', 'bulunan', 'atatürk', 'heykeline', 'taşla', 'saldıran', 'hk', 'adliyeye', 'sevk', 'edildi', 'şüphelinin', 'adliyede', 'ki', 'işlemleri', 'sürüyor']","['son', 'dakika', 'haber', 'elazığ', 'kent', 'merkez', 'bulun', 'atatürk', 'heykel', 'taş', 'sal', 'hk', 'adliye', 'sevk', 'et', 'şüphel', 'adliye', 'ki', 'işlem', 'sür']"
technology,türksat anın son ateşlemesi başarıyla gerçekleşti,1,türkiyenin ilk yerli milli haberleşme uydusu türksat anın yörünge yolculuğunda inci son ateşlemesi başarıyla gerçekleştirildi türksat anın yörünge yolculuğunda planlanan ateşlemelerin sona erdiğini belirten uraloğlu başlayan d,"['türksat', 'anın', 'son', 'ateşlemesi', 'başarıyla', 'gerçekleşti']","['türksat', 'an', 'son', 'ateşleme', 'başarı', 'gerçekleş']","['türkiyenin', 'ilk', 'yerli', 'milli', 'haberleşme', 'uydusu', 'türksat', 'anın', 'yörünge', 'yolculuğunda', 'inci', 'son', 'ateşlemesi', 'başarıyla', 'gerçekleştirildi', 'türksat', 'anın', 'yörünge', 'yolculuğunda', 'planlanan', 'ateşlemelerin', 'sona', 'erdiğini', 'belirten', 'uraloğlu', 'başlayan', 'd']","['türkiye', 'ilk', 'yerli', 'milli', 'haberleş', 'uydu', 'türksat', 'an', 'yörünge', 'yolculuk', 'inci', 'son', 'ateşleme', 'başarı', 'gerçekleş', 'türksat', 'an', 'yörünge', 'yolculuk', 'planla', 'ateşleme', 'son', 'er', 'belir', 'uraloğlu', 'başla', 'd']"
technology,son dakika türksat gece uzaya fırlatılıyor bakan uraloğlu cnn türkte anlattı,1,son dakika haber türksat gece abd spacex fırlatma merkezinden uzaya fırlatılacak ulaştırma altyapı bakanı abdulkadir uraloğlu cnn türkte konuya ilişkin açıklamalarda bulundu bakan uraloğlu yıllık serüvenden bahsediyoruz inşallah,"['son', 'dakika', 'türksat', 'gece', 'uzaya', 'fırlatılıyor', 'bakan', 'uraloğlu', 'cnn', 'türkte', 'anlattı']","['son', 'dakika', 'türksat', 'gece', 'uza', 'fırlat', 'bakan', 'uraloğlu', 'cin', 'türk', 'anlat']","['son', 'dakika', 'haber', 'türksat', 'gece', 'abd', 'spacex', 'fırlatma', 'merkezinden', 'uzaya', 'fırlatılacak', 'ulaştırma', 'altyapı', 'bakanı', 'abdulka', 'dir', 'uraloğlu', 'cnn', 'türkte', 'konuya', 'ilişkin', 'açıklamalarda', 'bulundu', 'bakan', 'uraloğlu', 'yıllık', 'serüvenden', 'bahsediyoruz', 'inşallah']","['son', 'dakika', 'haber', 'türksat', 'gece', 'abd', 'spacex', 'fırlatma', 'merkez', 'uza', 'fırlat', 'ulaş', 'altyap', 'bakan', 'abdulka', 'i', 'uraloğlu', 'cin', 'türk', 'konu', 'ilişkin', 'açıklama', 'bulun', 'bakan', 'uraloğlu', 'yıllık', 'serüven', 'bahset', 'inşallah']"
politics,son dakika cumhurbaşkanı erdoğan ceza merihin şahsına türk milletine dönük verilmiştir,1,cumhurbaşkanı recep tayyip erdoğan uefanın euro ün son turunda oynanan avusturya maçındaki bozkurt hareketi nedeniyle milli futbolcu merih demirale verdiği cezayla ilgili uefanın verdiği ceza tamamen siyasi ceza merihin şahsına değildir as,"['son', 'dakika', 'cumhurbaşkanı', 'erdoğan', 'ceza', 'merihin', 'şahsına', 'türk', 'milletine', 'dönük', 'verilmiştir']","['son', 'dakika', 'cumhurbaşkanı', 'erdoğan', 'ceza', 'merih', 'şah', 'türk', 'millet', 'dönük', 'ver']","['cumhurbaşkanı', 'recep', 'tayyip', 'erdoğan', 'uefanın', 'euro', 'ün', 'son', 'turunda', 'oynanan', 'avusturya', 'maçında', 'ki', 'bozkurt', 'hareketi', 'nedeniyle', 'milli', 'futbolcu', 'merih', 'demirale', 'verdiği', 'cezayla', 'ilgili', 'uefanın', 'verdiği', 'ceza', 'tamamen', 'siyasi', 'ceza', 'merihin', 'şahsına', 'değildir', 'as']","['cumhurbaşkanı', 'recep', 'tayyip', 'erdoğan', 'uefan', 'euro', 'ün', 'son', 'tur', 'oyna', 'avusturya', 'maçında', 'ki', 'bozkurt', 'hareket', 'neden', 'milli', 'futbolcu', 'merih', 'demirale', 'ver', 'ceza', 'ilgili', 'uefan', 'ver', 'ceza', 'tamamen', 'siyasi', 'ceza', 'merih', 'şah', 'değil', 'as']"
entertainment,son dakika soğuk cüzdan detayı polat çiftine yönelik hazırlanan iddianamenin detayları ortaya çıktı,0,istanbul merkezli ilde düzenlenen operasyonun ardından dilan polat eşi engin polatın tutuklandığı soruşturma sonucunda hazırlanan iddianamenin detaylarına ulaşıldı iddianamede yasa dışı yollardan edinilen paraların soğuk cüzdan yöntemi siste,"['son', 'dakika', 'soğuk', 'cüzdan', 'detayı', 'polat', 'çiftine', 'yönelik', 'hazırlanan', 'iddianamenin', 'detayları', 'ortaya', 'çıktı']","['son', 'dakika', 'soğuk', 'cüz', 'deta', 'polat', 'çift', 'yönelik', 'hazırla', 'iddianame', 'detay', 'orta', 'çık']","['istanbul', 'merkezli', 'ilde', 'düzenlenen', 'operasyonun', 'ardından', 'dilan', 'polat', 'eşi', 'engin', 'polatın', 'tutuklandığı', 'soruşturma', 'sonucunda', 'hazırlanan', 'iddianamenin', 'detaylarına', 'ulaşıldı', 'iddianamede', 'yasa', 'dışı', 'yollardan', 'edinilen', 'paraların', 'soğuk', 'cüzdan', 'yöntemi', 'siste']","['istanbul', 'merkezli', 'ilde', 'düzenle', 'operasyon', 'ardından', 'dilan', 'polat', 'eş', 'engin', 'polat', 'tutuklan', 'soruşturma', 'sonuç', 'hazırla', 'iddianame', 'detay', 'ulaş', 'iddianame', 'yasa', 'dış', 'yol', 'edin', 'para', 'soğuk', 'cüz', 'yöntem', 'sis']"
